aX,aY,aZ,gX,gY,gZ
-9.620,-10.036,9.888,3.817,-1.400,1.898
-9.017,-9.366,7.805,3.893,-1.380,1.901
-8.389,-8.677,5.780,3.935,-1.403,1.896
-7.609,-8.001,3.912,3.941,-1.444,1.880
-6.776,-7.379,2.212,3.920,-1.456,1.856
-6.009,-6.785,0.675,3.860,-1.404,1.825
-5.349,-6.172,-0.618,3.761,-1.292,1.799
-4.750,-5.622,-1.638,3.622,-1.145,1.767
-4.228,-5.042,-2.571,3.457,-0.968,1.747
-3.869,-4.453,-3.505,3.278,-0.778,1.759
-3.515,-3.783,-4.381,3.074,-0.594,1.814
-3.045,-3.036,-5.186,2.838,-0.434,1.905
-2.212,-2.251,-5.775,2.566,-0.332,2.008
-0.958,-1.475,-6.081,2.288,-0.274,2.077
0.369,-0.737,-6.263,2.011,-0.233,2.083
1.528,-0.062,-6.297,1.740,-0.228,2.012
2.308,0.397,-5.995,1.499,-0.266,1.889
2.950,0.651,-5.262,1.306,-0.339,1.743
3.510,0.766,-4.334,1.164,-0.386,1.573
3.697,0.929,-3.807,1.102,-0.418,1.423
3.682,1.116,-3.462,1.053,-0.469,1.265
3.400,1.279,-3.170,0.995,-0.527,1.119
3.069,1.365,-2.796,0.921,-0.600,0.992
2.811,1.408,-2.327,0.841,-0.660,0.878
2.567,1.355,-1.748,0.770,-0.706,0.788
2.318,1.197,-0.910,0.731,-0.747,0.735
2.203,1.082,0.000,0.747,-0.770,0.712
2.265,1.101,0.603,0.798,-0.763,0.704
2.476,1.274,0.838,0.851,-0.727,0.679
2.658,1.499,0.804,0.865,-0.670,0.626
2.662,1.753,0.704,0.834,-0.606,0.555
2.552,1.968,0.680,0.765,-0.557,0.478
2.404,2.107,0.781,0.673,-0.509,0.408
2.265,2.217,0.905,0.593,-0.483,0.356
2.203,2.356,1.116,0.505,-0.459,0.301
2.217,2.514,1.360,0.422,-0.438,0.237
2.198,2.624,1.647,0.342,-0.431,0.162
2.045,2.658,2.078,0.255,-0.423,0.064
1.781,2.595,2.461,0.182,-0.410,-0.021
1.460,2.533,2.859,0.110,-0.382,-0.092
1.001,2.442,3.318,0.037,-0.344,-0.145
0.488,2.246,3.864,-0.026,-0.304,-0.173
-0.129,2.112,4.535,-0.048,-0.264,-0.164
-0.608,2.088,5.071,-0.115,-0.226,-0.140
-0.819,2.064,5.588,-0.174,-0.179,-0.105
-0.929,2.064,6.081,-0.219,-0.116,-0.067
-0.977,2.064,6.493,-0.253,-0.068,-0.036
-0.910,2.102,6.847,-0.277,-0.033,-0.017
-0.757,2.164,7.135,-0.292,-0.013,-0.015
-0.670,2.217,7.369,-0.302,-0.009,-0.027
-0.670,2.265,7.642,-0.309,-0.026,-0.053
-0.800,2.260,7.958,-0.306,-0.054,-0.081
-0.972,2.203,8.317,-0.285,-0.079,-0.094
-1.192,2.136,8.624,-0.247,-0.091,-0.096
-1.398,2.160,8.758,-0.204,-0.086,-0.088
-1.566,2.184,8.796,-0.166,-0.081,-0.078
-1.671,2.222,8.839,-0.134,-0.085,-0.073
-1.762,2.150,8.964,-0.113,-0.081,-0.070
-1.939,2.222,8.964,-0.099,-0.064,-0.062
-2.083,2.298,8.911,-0.107,-0.064,-0.049
-2.160,2.313,8.983,-0.138,-0.067,-0.033
-2.116,2.279,9.218,-0.179,-0.064,-0.016
-1.968,2.251,9.529,-0.213,-0.039,-0.007
-1.872,2.255,9.821,-0.234,0.006,-0.003
-1.844,2.279,10.022,-0.240,0.056,-0.004
-1.872,2.270,10.180,-0.237,0.096,-0.008
-1.973,2.327,10.285,-0.230,0.120,-0.012
-2.088,2.322,10.353,-0.218,0.117,-0.015
-2.160,2.332,10.376,-0.205,0.092,-0.015
-2.160,2.322,10.501,-0.185,0.063,-0.015
-2.116,2.260,10.630,-0.152,0.041,-0.013
-2.112,2.174,10.769,-0.103,0.035,-0.009
-2.112,2.136,10.827,-0.044,0.035,-0.004
-2.102,2.136,10.745,0.011,0.053,0.001
-2.107,2.255,10.558,0.053,0.085,0.003
-2.217,2.318,10.266,0.079,0.117,0.004
-2.370,2.380,10.118,0.092,0.147,0.015
-2.452,2.447,9.941,0.106,0.176,0.036
-2.456,2.552,9.716,0.116,0.203,0.064
-2.404,2.782,9.380,0.114,0.221,0.087
-2.289,2.916,9.055,0.094,0.232,0.099

-10.611,-6.531,23.506,0.026,-1.077,0.538
-10.635,-6.862,24.215,0.133,-1.013,0.603
-10.884,-7.221,24.531,0.262,-0.918,0.691
-11.167,-7.604,24.694,0.378,-0.812,0.803
-11.329,-8.107,24.914,0.481,-0.690,0.962
-11.214,-8.624,25.283,0.575,-0.579,1.102
-11.037,-9.222,25.762,0.705,-0.473,1.225
-10.884,-9.917,26.178,0.897,-0.378,1.322
-10.851,-10.621,26.255,1.174,-0.306,1.401
-11.018,-10.827,25.891,1.463,-0.272,1.470
-11.023,-11.162,25.110,1.735,-0.324,1.513
-10.980,-11.358,24.296,1.976,-0.388,1.547
-10.937,-11.535,23.425,2.233,-0.502,1.585
-10.649,-11.588,22.415,2.505,-0.627,1.652
-10.190,-11.492,21.213,2.792,-0.741,1.730
-9.529,-11.325,19.795,3.087,-0.832,1.810
-8.557,-11.032,17.741,3.440,-0.891,1.891
-7.604,-10.764,15.639,3.740,-0.892,1.940
-6.685,-10.396,13.216,4.017,-0.830,1.959
-5.957,-9.936,10.511,4.246,-0.747,1.934
-5.430,-9.404,7.714,4.366,-0.677,1.854
-5.234,-8.777,4.899,4.366,-0.622,1.738
-5.430,-7.906,2.160,4.366,-0.598,1.616
-5.703,-7.202,-0.421,4.366,-0.602,1.529
-6.043,-6.488,-2.528,4.274,-0.621,1.503
-6.330,-5.799,-4.137,4.069,-0.676,1.555
-6.187,-5.167,-5.157,3.806,-0.780,1.653
-5.550,-4.597,-5.636,3.508,-0.847,1.783
-4.578,-3.931,-5.818,3.187,-0.838,1.916
-3.304,-3.261,-5.722,2.865,-0.740,2.035
-1.930,-2.614,-5.478,2.558,-0.570,2.138
-0.599,-1.992,-5.157,2.282,-0.366,2.216
0.876,-1.298,-4.808,2.014,-0.153,2.256
2.030,-0.704,-4.568,1.816,-0.032,2.224
3.012,-0.153,-4.410,1.647,0.052,2.126
3.716,0.316,-4.290,1.492,0.093,1.973
4.051,0.670,-4.142,1.348,0.105,1.791
4.156,0.919,-3.936,1.213,0.046,1.587
4.142,1.025,-3.606,1.094,-0.072,1.361
3.998,1.034,-3.251,0.992,-0.220,1.125
3.701,1.010,-2.883,0.903,-0.374,0.887
3.247,0.982,-2.495,0.820,-0.532,0.668
2.763,0.905,-2.088,0.741,-0.675,0.486
2.318,0.871,-1.700,0.666,-0.799,0.343
1.954,0.871,-1.245,0.594,-0.907,0.238
1.705,0.828,-0.680,0.533,-0.999,0.167
1.575,0.790,0.005,0.495,-1.054,0.125
1.623,0.781,0.589,0.483,-1.046,0.107
1.690,0.886,1.025,0.485,-0.983,0.090
1.786,1.120,1.221,0.481,-0.891,0.069
1.815,1.437,1.202,0.449,-0.779,0.045
1.791,1.690,1.255,0.387,-0.671,0.021
1.781,1.896,1.341,0.300,-0.568,-0.006
1.690,2.030,1.499,0.204,-0.474,-0.033
1.571,2.064,1.915,0.109,-0.406,-0.051
1.494,1.920,2.600,0.042,-0.346,-0.067
1.264,1.824,3.352,0.011,-0.281,-0.078
0.891,1.733,4.094,0.009,-0.216,-0.077
0.393,1.647,4.784,0.037,-0.155,-0.059
-0.024,1.662,5.267,0.082,-0.096,-0.022
-0.335,1.796,5.416,0.104,-0.035,0.024
-0.541,2.002,5.488,0.092,0.009,0.075
-0.551,2.184,5.641,0.055,0.028,0.117
-0.383,2.327,5.928,0.013,0.036,0.137
-0.230,2.399,6.235,-0.015,0.041,0.132
-0.196,2.485,6.498,-0.023,0.038,0.103
-0.306,2.567,6.627,-0.021,0.028,0.065
-0.488,2.701,6.632,-0.022,0.012,0.034
-0.627,2.787,6.589,-0.029,-0.016,0.010
-0.603,2.954,6.531,-0.056,-0.046,-0.013
-0.599,3.079,6.570,-0.101,-0.089,-0.043
-0.541,3.179,6.747,-0.153,-0.141,-0.079
-0.541,3.203,7.068,-0.199,-0.187,-0.114
-0.599,3.132,7.518,-0.223,-0.219,-0.140
-0.704,3.021,8.025,-0.223,-0.223,-0.156
-0.905,2.950,8.485,-0.208,-0.209,-0.165
-1.207,2.954,8.763,-0.186,-0.201,-0.167
-1.465,2.969,8.997,-0.173,-0.189,-0.160
-1.642,2.959,9.232,-0.172,-0.165,-0.143
-1.757,2.902,9.529,-0.170,-0.140,-0.118
-1.729,2.863,9.826,-0.156,-0.116,-0.093
-1.638,2.806,10.027,-0.130,-0.085,-0.075
-1.609,2.796,10.118,-0.096,-0.058,-0.071
-1.638,2.806,10.080,-0.071,-0.034,-0.078
-1.820,2.835,10.008,-0.058,-0.020,-0.088
-2.030,2.883,9.955,-0.058,-0.024,-0.098
-2.217,2.868,9.965,-0.063,-0.036,-0.099
-2.346,2.820,10.008,-0.068,-0.049,-0.094
-2.375,2.787,10.118,-0.070,-0.056,-0.082
-2.322,2.796,10.185,-0.065,-0.056,-0.071
-2.270,2.777,10.190,-0.051,-0.043,-0.066
-2.294,2.777,10.142,-0.032,-0.011,-0.064
-2.394,2.830,10.013,-0.016,0.026,-0.056
-2.557,2.892,9.840,-0.006,0.053,-0.043
-2.667,2.911,9.787,-0.002,0.070,-0.021
-2.715,2.892,9.725,0.003,0.084,0.001
-2.734,2.907,9.649,0.007,0.094,0.022
-2.725,2.940,9.543,0.005,0.095,0.039
-2.705,2.935,9.519,-0.003,0.091,0.051
-2.662,2.916,9.543,-0.005,0.083,0.059

-10.453,-5.813,25.139,-0.633,0.040,0.855
-10.147,-6.048,26.058,-0.513,0.239,1.040
-9.759,-6.263,26.715,-0.395,0.439,1.162
-9.538,-6.488,27.217,-0.271,0.615,1.214
-9.677,-6.823,27.481,-0.143,0.734,1.213
-10.204,-7.221,27.428,0.005,0.750,1.168
-10.712,-7.661,27.256,0.147,0.633,1.112
-11.181,-8.193,27.002,0.326,0.427,1.050
-11.645,-8.768,26.724,0.557,0.166,1.008
-12.052,-9.337,26.456,0.856,-0.126,1.009
-12.311,-9.816,25.948,1.221,-0.421,1.051
-12.416,-10.046,25.067,1.616,-0.687,1.129
-12.325,-10.089,23.794,2.003,-0.943,1.216
-11.765,-9.931,21.907,2.388,-1.182,1.303
-11.138,-9.639,20.130,2.641,-1.326,1.349
-10.463,-9.270,18.373,2.830,-1.417,1.372
-9.888,-8.926,16.716,2.970,-1.451,1.385
-9.443,-8.624,15.079,3.073,-1.456,1.395
-9.002,-8.313,13.618,3.137,-1.434,1.417
-8.514,-7.977,12.301,3.179,-1.366,1.447
-7.968,-7.561,10.788,3.207,-1.237,1.489
-7.470,-7.183,9.457,3.219,-1.113,1.524
-6.948,-6.790,8.107,3.222,-0.992,1.563
-6.426,-6.359,6.766,3.210,-0.889,1.580
-5.938,-5.909,5.449,3.181,-0.803,1.588
-5.464,-5.497,4.128,3.133,-0.735,1.585
-5.100,-5.090,2.887,3.067,-0.682,1.558
-4.841,-4.726,1.738,2.974,-0.650,1.526
-4.678,-4.410,0.804,2.857,-0.652,1.491
-4.506,-4.152,0.244,2.732,-0.681,1.466
-4.257,-4.022,0.124,2.634,-0.723,1.467
-3.845,-3.926,0.220,2.591,-0.752,1.485
-3.318,-3.687,0.215,2.590,-0.759,1.508
-2.772,-3.328,-0.053,2.601,-0.753,1.523
-2.231,-2.787,-0.546,2.590,-0.743,1.536
-1.623,-2.164,-1.058,2.527,-0.724,1.554
-0.876,-1.561,-1.389,2.413,-0.687,1.573
-0.120,-1.087,-1.398,2.277,-0.643,1.587
0.685,-0.733,-1.164,2.153,-0.588,1.592
1.465,-0.412,-0.891,2.064,-0.506,1.592
2.193,-0.053,-0.824,1.997,-0.399,1.570
2.768,0.373,-1.020,1.936,-0.284,1.523
3.223,0.761,-1.302,1.860,-0.185,1.448
3.577,1.135,-1.633,1.760,-0.101,1.338
3.754,1.413,-1.949,1.641,-0.053,1.191
3.740,1.614,-2.174,1.493,-0.055,1.018
3.567,1.786,-2.274,1.326,-0.108,0.828
3.285,1.820,-2.188,1.150,-0.190,0.637
2.907,1.767,-1.858,0.978,-0.286,0.454
2.456,1.590,-1.312,0.832,-0.394,0.295
2.030,1.417,-0.666,0.721,-0.485,0.167
1.595,1.307,-0.153,0.633,-0.540,0.070
1.135,1.250,0.297,0.552,-0.559,0.005
0.713,1.211,0.718,0.470,-0.554,-0.032
0.393,1.183,1.183,0.401,-0.527,-0.049
0.177,1.226,1.561,0.349,-0.476,-0.050
0.053,1.369,1.733,0.302,-0.409,-0.043
-0.014,1.556,1.647,0.235,-0.342,-0.044
-0.115,1.676,1.681,0.152,-0.308,-0.048
-0.211,1.700,1.954,0.067,-0.299,-0.043
-0.306,1.647,2.538,0.008,-0.301,-0.018
-0.278,1.480,3.405,0.016,-0.308,0.031
-0.153,1.413,4.219,0.098,-0.302,0.085
0.086,1.499,4.621,0.223,-0.280,0.128
0.364,1.824,4.468,0.334,-0.238,0.145
0.484,2.298,4.017,0.375,-0.209,0.124
0.350,2.658,3.677,0.339,-0.214,0.080
0.062,2.768,3.797,0.265,-0.252,0.036
-0.153,2.677,4.310,0.203,-0.294,0.013
-0.254,2.614,4.860,0.173,-0.319,0.007
-0.283,2.634,5.195,0.157,-0.325,0.005
-0.345,2.691,5.531,0.146,-0.325,0.003
-0.546,2.749,5.866,0.139,-0.321,0.006
-0.747,2.868,6.091,0.134,-0.311,0.014
-0.852,3.036,6.182,0.116,-0.290,0.025
-0.910,3.160,6.297,0.081,-0.270,0.031
-0.939,3.208,6.531,0.037,-0.253,0.030
-1.010,3.175,6.891,-0.002,-0.243,0.029
-1.082,3.093,7.360,-0.017,-0.242,0.036
-1.149,3.065,7.762,-0.014,-0.239,0.049
-1.154,3.079,8.030,-0.003,-0.232,0.071
-1.087,3.141,8.236,0.008,-0.210,0.091
-0.943,3.294,8.313,0.009,-0.178,0.097
-0.843,3.491,8.265,-0.007,-0.134,0.087
-0.824,3.654,8.207,-0.045,-0.090,0.065
-0.905,3.749,8.246,-0.095,-0.054,0.043
-1.068,3.721,8.408,-0.150,-0.038,0.022
-1.235,3.625,8.710,-0.192,-0.039,0.011
-1.374,3.515,9.098,-0.215,-0.035,0.011
-1.480,3.409,9.481,-0.219,-0.019,0.020
-1.556,3.366,9.725,-0.211,0.007,0.036
-1.494,3.381,9.931,-0.208,0.032,0.050
-1.350,3.338,10.195,-0.201,0.060,0.052
-1.250,3.275,10.420,-0.177,0.088,0.041
-1.326,3.242,10.549,-0.138,0.106,0.021
-1.532,3.275,10.487,-0.094,0.115,0.003
-1.781,3.385,10.257,-0.062,0.117,-0.005
-1.939,3.486,10.036,-0.043,0.104,-0.004
-2.030,3.543,9.907,-0.033,0.088,0.001
-2.078,3.577,9.878,-0.028,0.075,0.007

-10.171,-6.450,24.536,0.608,-0.067,0.975
-10.329,-6.843,25.177,0.803,-0.134,1.052
-10.343,-7.168,25.455,0.991,-0.154,1.108
-10.420,-7.566,25.412,1.166,-0.129,1.141
-10.635,-8.064,25.130,1.330,-0.079,1.163
-11.028,-8.648,24.627,1.477,-0.010,1.195
-11.478,-9.194,23.913,1.612,0.053,1.257
-11.832,-9.787,22.865,1.753,0.094,1.370
-11.923,-10.271,21.854,1.863,0.094,1.496
-11.818,-10.736,20.911,1.980,0.053,1.630
-11.454,-11.076,19.972,2.120,-0.033,1.758
-10.831,-11.205,18.790,2.268,-0.132,1.871
-10.013,-11.143,17.473,2.407,-0.245,1.961
-8.911,-10.894,15.826,2.559,-0.373,2.033
-7.887,-10.491,14.279,2.673,-0.462,2.068
-6.900,-9.984,12.747,2.758,-0.516,2.079
-6.019,-9.395,11.190,2.811,-0.554,2.070
-5.253,-8.729,9.701,2.831,-0.577,2.045
-4.559,-8.030,8.226,2.826,-0.582,2.008
-3.917,-7.288,6.847,2.805,-0.577,1.959
-3.409,-6.536,5.535,2.767,-0.588,1.893
-3.160,-5.942,4.539,2.720,-0.651,1.820
-2.993,-5.689,3.850,2.696,-0.764,1.752
-2.772,-5.353,3.261,2.753,-0.895,1.694
-2.452,-4.932,2.701,2.804,-1.023,1.628
-2.188,-4.453,2.126,2.854,-1.111,1.555
-2.011,-3.941,1.446,2.867,-1.136,1.493
-1.776,-3.395,0.886,2.825,-1.104,1.450
-1.480,-2.931,0.488,2.738,-1.037,1.431
-0.833,-2.490,0.235,2.609,-0.911,1.421
-0.101,-2.064,0.024,2.491,-0.747,1.399
0.579,-1.690,-0.287,2.372,-0.569,1.337
1.111,-1.317,-0.608,2.251,-0.408,1.235
1.389,-0.953,-0.967,2.129,-0.287,1.092
1.384,-0.618,-1.355,2.001,-0.223,0.926
1.073,-0.297,-1.705,1.867,-0.214,0.754
0.527,-0.091,-1.973,1.723,-0.261,0.603
-0.081,0.124,-2.174,1.559,-0.350,0.492
-0.575,0.206,-2.164,1.383,-0.476,0.435
-0.809,0.196,-1.844,1.226,-0.616,0.431
-0.575,0.220,-1.408,1.100,-0.729,0.454
0.124,0.383,-1.082,1.002,-0.784,0.475
1.116,0.560,-0.781,0.912,-0.770,0.445
1.757,0.661,-0.441,0.829,-0.714,0.355
1.911,0.431,0.086,0.790,-0.629,0.259
1.805,0.589,0.613,0.817,-0.506,0.179
1.398,0.728,0.776,0.760,-0.390,0.118
0.967,0.871,0.919,0.713,-0.288,0.086
0.393,1.030,0.972,0.668,-0.243,0.071
-0.072,1.120,1.231,0.639,-0.236,0.079
-0.541,1.279,1.542,0.617,-0.248,0.120
-0.728,1.379,1.906,0.601,-0.268,0.193
-0.656,1.489,2.212,0.598,-0.287,0.280
-0.306,1.671,2.394,0.595,-0.310,0.348
0.101,1.911,2.461,0.576,-0.323,0.379
0.378,2.121,2.605,0.541,-0.339,0.374
0.536,2.255,2.830,0.499,-0.340,0.348
0.517,2.365,3.098,0.461,-0.328,0.320
0.373,2.490,3.290,0.427,-0.318,0.300
0.259,2.658,3.405,0.384,-0.319,0.290
0.273,2.806,3.486,0.332,-0.315,0.288
0.364,2.950,3.610,0.273,-0.296,0.284
0.460,3.041,3.821,0.210,-0.279,0.270
0.579,3.146,4.190,0.148,-0.266,0.238
0.670,3.108,4.630,0.100,-0.254,0.195
0.622,3.074,5.071,0.065,-0.233,0.145
0.460,3.069,5.497,0.038,-0.215,0.098
0.235,3.055,5.842,0.018,-0.203,0.053
-0.077,3.007,6.167,0.007,-0.193,0.015
-0.488,2.945,6.507,0.002,-0.186,-0.013
-0.852,2.873,6.761,0.001,-0.183,-0.020
-1.178,2.868,6.991,-0.001,-0.181,-0.010
-1.326,2.897,7.187,-0.009,-0.176,0.012
-1.298,2.969,7.360,-0.020,-0.172,0.032
-1.197,3.031,7.566,-0.031,-0.173,0.039
-1.130,3.112,7.767,-0.041,-0.171,0.037
-1.106,3.170,7.944,-0.051,-0.155,0.034
-1.120,3.237,8.112,-0.063,-0.138,0.033
-1.154,3.294,8.317,-0.083,-0.122,0.033
-1.183,3.323,8.533,-0.103,-0.106,0.036
-1.211,3.266,8.830,-0.124,-0.090,0.041
-1.245,3.213,9.122,-0.133,-0.071,0.050
-1.221,3.160,9.486,-0.129,-0.052,0.061
-1.197,3.098,9.783,-0.103,-0.029,0.069
-1.183,3.079,9.989,-0.061,-0.000,0.068
-1.231,3.117,9.974,-0.020,0.034,0.061
-1.369,3.189,9.845,0.015,0.058,0.050
-1.547,3.251,9.649,0.038,0.069,0.039
-1.714,3.290,9.510,0.051,0.063,0.032
-1.791,3.299,9.428,0.056,0.049,0.029
-1.829,3.323,9.313,0.058,0.027,0.026
-1.815,3.323,9.222,0.056,0.013,0.026
-1.762,3.371,9.141,0.053,0.011,0.027
-1.709,3.433,9.069,0.048,0.027,0.026
-1.695,3.476,8.954,0.038,0.049,0.023
-1.757,3.543,8.849,0.025,0.072,0.026
-1.863,3.587,8.768,0.017,0.095,0.039
-1.939,3.644,8.715,0.008,0.120,0.061
-1.930,3.740,8.600,-0.009,0.134,0.079
-1.877,3.807,8.523,-0.033,0.136,0.087

-7.432,-8.049,24.842,1.610,-0.053,0.665
-8.222,-8.279,24.287,1.826,-0.191,0.622
-8.964,-8.490,23.755,2.031,-0.379,0.614
-9.534,-8.686,23.310,2.246,-0.632,0.640
-9.778,-8.854,22.683,2.482,-0.933,0.665
-9.797,-8.878,21.835,2.722,-1.254,0.676
-9.639,-8.782,20.528,2.992,-1.620,0.681
-9.347,-8.590,19.192,3.200,-1.901,0.692
-8.940,-8.270,17.708,3.373,-2.139,0.699
-8.514,-7.834,16.185,3.496,-2.327,0.710
-8.068,-7.441,14.758,3.568,-2.456,0.726
-7.542,-7.077,13.532,3.597,-2.501,0.759
-6.934,-6.761,12.479,3.604,-2.463,0.808
-6.215,-6.483,11.459,3.604,-2.355,0.863
-5.459,-6.215,10.491,3.604,-2.174,0.917
-4.731,-5.952,9.443,3.594,-1.939,0.957
-4.137,-5.679,8.384,3.570,-1.702,0.965
-3.673,-5.382,7.331,3.535,-1.480,0.924
-3.486,-5.061,6.182,3.475,-1.247,0.819
-3.563,-4.798,5.267,3.412,-1.073,0.709
-3.816,-4.501,4.468,3.343,-0.916,0.614
-4.147,-4.161,3.802,3.253,-0.788,0.555
-4.477,-3.831,3.242,3.146,-0.697,0.544
-4.712,-3.505,2.840,3.027,-0.648,0.574
-4.827,-3.194,2.600,2.886,-0.621,0.638
-4.654,-2.993,2.447,2.741,-0.600,0.745
-4.223,-2.801,2.332,2.676,-0.588,0.863
-3.548,-2.591,2.150,2.629,-0.592,0.965
-2.648,-2.270,1.800,2.591,-0.613,1.024
-1.690,-1.896,1.346,2.566,-0.652,1.039
-0.819,-1.513,0.895,2.540,-0.719,1.003
-0.129,-1.149,0.455,2.506,-0.822,0.918
0.426,-0.757,0.096,2.452,-0.948,0.801
0.848,-0.464,-0.177,2.386,-1.077,0.672
1.116,-0.196,-0.383,2.314,-1.182,0.543
1.183,0.053,-0.541,2.240,-1.269,0.422
1.111,0.330,-0.661,2.156,-1.343,0.320
1.063,0.546,-0.704,2.055,-1.395,0.242
1.097,0.709,-0.651,1.945,-1.405,0.186
1.183,0.871,-0.579,1.821,-1.371,0.146
1.293,1.015,-0.450,1.692,-1.301,0.116
1.441,1.092,-0.168,1.562,-1.208,0.091
1.623,1.092,0.168,1.452,-1.079,0.072
1.786,1.140,0.383,1.368,-0.901,0.060
1.853,1.231,0.407,1.293,-0.694,0.050
1.781,1.317,0.316,1.209,-0.479,0.046
1.647,1.480,0.187,1.115,-0.290,0.046
1.518,1.642,0.139,1.010,-0.121,0.055
1.336,1.738,0.239,0.905,0.025,0.080
1.255,1.829,0.373,0.805,0.137,0.109
1.202,1.882,0.656,0.715,0.216,0.135
1.211,1.987,0.891,0.643,0.265,0.149
1.235,2.179,1.049,0.573,0.295,0.142
1.178,2.346,1.183,0.494,0.307,0.119
1.039,2.533,1.374,0.410,0.302,0.092
0.895,2.734,1.609,0.327,0.286,0.069
0.781,2.974,1.810,0.242,0.268,0.051
0.656,3.227,2.030,0.151,0.242,0.043
0.603,3.381,2.313,0.064,0.216,0.042
0.536,3.438,2.667,-0.016,0.199,0.052
0.431,3.371,3.184,-0.080,0.189,0.078
0.378,3.280,3.802,-0.121,0.183,0.124
0.402,3.203,4.381,-0.138,0.176,0.175
0.579,3.213,4.865,-0.137,0.166,0.214
0.886,3.261,5.224,-0.130,0.158,0.225
1.192,3.357,5.387,-0.123,0.155,0.201
1.317,3.519,5.406,-0.129,0.149,0.148
1.269,3.754,5.344,-0.157,0.133,0.077
1.044,3.922,5.310,-0.208,0.094,0.008
0.781,4.051,5.377,-0.271,0.036,-0.038
0.584,4.075,5.488,-0.346,-0.033,-0.058
0.517,4.013,5.751,-0.425,-0.104,-0.061
0.579,3.879,6.153,-0.503,-0.172,-0.056
0.771,3.745,6.699,-0.563,-0.222,-0.050
0.991,3.649,7.269,-0.604,-0.245,-0.048
1.197,3.582,7.752,-0.632,-0.235,-0.054
1.293,3.529,8.159,-0.648,-0.204,-0.070
1.293,3.519,8.538,-0.652,-0.168,-0.096
1.197,3.558,8.878,-0.651,-0.126,-0.128
0.991,3.601,9.141,-0.645,-0.065,-0.151
0.680,3.630,9.385,-0.639,-0.010,-0.166
0.306,3.601,9.673,-0.633,0.031,-0.172
-0.067,3.496,10.027,-0.617,0.058,-0.159
-0.388,3.357,10.357,-0.583,0.067,-0.130
-0.579,3.175,10.683,-0.532,0.064,-0.087
-0.622,3.021,10.989,-0.459,0.061,-0.036
-0.536,2.964,11.133,-0.372,0.058,0.010
-0.421,2.945,11.133,-0.292,0.055,0.041
-0.287,2.974,11.071,-0.218,0.049,0.055
-0.192,3.036,10.942,-0.157,0.044,0.058
-0.168,3.141,10.745,-0.109,0.049,0.053
-0.225,3.270,10.515,-0.076,0.052,0.048
-0.287,3.395,10.257,-0.056,0.058,0.048
-0.373,3.505,9.993,-0.053,0.059,0.049
-0.402,3.582,9.773,-0.062,0.061,0.051
-0.441,3.610,9.625,-0.078,0.057,0.058
-0.417,3.587,9.534,-0.094,0.050,0.071
-0.373,3.577,9.486,-0.099,0.044,0.087
-0.206,3.548,9.486,-0.107,0.056,0.103
-0.177,3.601,9.361,-0.105,0.081,0.117

-6.790,-9.012,24.603,1.163,-0.241,0.799
-6.847,-9.438,24.469,1.298,-0.256,0.746
-7.044,-9.754,24.095,1.461,-0.277,0.669
-7.585,-10.027,23.363,1.689,-0.337,0.571
-8.179,-10.108,22.486,1.892,-0.436,0.513
-8.772,-10.113,21.500,2.092,-0.572,0.497
-9.199,-10.075,20.518,2.287,-0.728,0.538
-9.380,-9.931,19.455,2.482,-0.882,0.627
-9.227,-9.730,18.344,2.666,-1.018,0.744
-8.777,-9.586,17.229,2.846,-1.127,0.871
-8.073,-9.371,16.089,3.032,-1.199,0.978
-7.240,-9.131,14.815,3.218,-1.231,1.038
-6.450,-8.902,13.350,3.392,-1.218,1.038
-5.842,-8.595,11.463,3.570,-1.161,0.971
-5.693,-8.260,9.725,3.691,-1.095,0.874
-5.861,-7.910,7.934,3.773,-1.027,0.782
-6.182,-7.499,6.263,3.808,-0.974,0.726
-6.483,-7.025,4.693,3.792,-0.930,0.726
-6.651,-6.464,3.309,3.736,-0.905,0.784
-6.531,-5.832,2.093,3.647,-0.896,0.890
-6.105,-5.205,1.053,3.532,-0.886,1.031
-5.296,-4.559,0.196,3.399,-0.845,1.180
-4.286,-3.998,-0.469,3.258,-0.760,1.312
-3.175,-3.428,-1.082,3.109,-0.633,1.404
-2.112,-2.868,-1.729,2.950,-0.491,1.456
-1.101,-2.231,-2.289,2.770,-0.355,1.454
-0.249,-1.686,-2.801,2.576,-0.240,1.410
0.479,-1.178,-3.261,2.372,-0.155,1.326
0.958,-0.742,-3.673,2.159,-0.102,1.212
1.269,-0.378,-3.826,1.938,-0.089,1.085
1.374,-0.182,-3.663,1.733,-0.125,0.958
1.451,-0.148,-3.132,1.570,-0.191,0.849
1.571,-0.187,-2.471,1.461,-0.258,0.748
1.585,-0.239,-1.810,1.410,-0.328,0.651
1.590,-0.187,-1.341,1.396,-0.393,0.553
1.465,-0.096,-1.073,1.389,-0.445,0.456
1.235,0.000,-0.895,1.370,-0.490,0.377
1.015,0.139,-0.752,1.333,-0.537,0.321
0.828,0.254,-0.613,1.280,-0.561,0.298
0.781,0.326,-0.417,1.213,-0.556,0.303
0.852,0.388,-0.249,1.135,-0.549,0.317
1.073,0.484,-0.086,1.054,-0.528,0.326
1.369,0.618,0.067,0.963,-0.483,0.324
1.662,0.771,0.230,0.870,-0.410,0.309
1.944,0.939,0.397,0.778,-0.335,0.270
2.102,1.092,0.618,0.688,-0.264,0.216
