aX,aY,aZ,gX,gY,gZ
-8.892,-10.151,11.813,3.674,-1.915,1.341
-8.188,-9.218,8.882,3.980,-1.930,1.388
-7.183,-8.337,5.602,4.181,-1.903,1.431
-6.292,-7.163,2.686,4.314,-1.864,1.424
-5.689,-6.067,0.115,4.330,-1.851,1.411
-4.951,-5.013,-1.891,4.227,-1.851,1.416
-4.075,-4.013,-3.443,4.017,-1.793,1.466
-3.103,-3.098,-4.544,3.721,-1.686,1.548
-1.810,-2.188,-5.296,3.319,-1.492,1.638
-0.484,-1.508,-5.622,2.954,-1.249,1.696
0.747,-0.934,-5.746,2.589,-0.928,1.714
1.791,-0.402,-5.732,2.241,-0.592,1.678
2.586,0.053,-5.550,1.923,-0.288,1.593
3.103,0.426,-5.253,1.649,-0.043,1.457
3.170,0.536,-4.736,1.413,0.073,1.285
2.964,0.350,-3.850,1.271,0.102,1.124
2.538,0.201,-3.060,1.225,0.082,1.000
2.145,0.192,-2.576,1.234,0.025,0.907
1.810,0.316,-2.437,1.261,-0.053,0.838
1.618,0.517,-2.394,1.277,-0.174,0.769
1.547,0.594,-2.255,1.270,-0.310,0.707
1.470,0.613,-1.891,1.271,-0.444,0.651
1.422,0.555,-1.437,1.287,-0.596,0.595
1.547,0.584,-1.034,1.311,-0.726,0.539
1.772,0.546,-0.656,1.325,-0.799,0.482
2.006,0.661,-0.532,1.321,-0.790,0.416
2.093,0.781,-0.512,1.280,-0.748,0.331
2.107,0.833,-0.445,1.209,-0.677,0.234
1.800,0.891,-0.359,1.123,-0.594,0.139
1.341,0.967,-0.259,1.038,-0.536,0.067
0.934,1.097,-0.144,0.945,-0.491,0.039
0.718,1.231,-0.024,0.847,-0.463,0.035
0.771,1.398,0.192,0.734,-0.449,0.038
0.915,1.628,0.517,0.607,-0.447,0.028
1.025,1.748,0.982,0.476,-0.452,0.005
1.135,1.767,1.609,0.363,-0.439,-0.016
1.207,1.753,2.274,0.282,-0.391,-0.032
1.207,1.805,2.816,0.222,-0.311,-0.040
1.140,1.882,3.280,0.173,-0.225,-0.049
0.972,1.901,3.706,0.137,-0.153,-0.052
0.704,1.906,4.089,0.114,-0.092,-0.046
0.388,2.002,4.458,0.091,-0.047,-0.029
0.172,2.169,4.755,0.064,-0.012,0.000
0.053,2.351,5.018,0.029,0.024,0.035
0.034,2.528,5.248,-0.010,0.071,0.064
0.014,2.701,5.464,-0.057,0.110,0.083
0.014,2.811,5.751,-0.108,0.135,0.091
0.053,2.844,6.134,-0.150,0.152,0.085
0.038,2.844,6.517,-0.177,0.169,0.076
-0.024,2.840,6.843,-0.184,0.167,0.066
-0.048,2.892,7.149,-0.184,0.153,0.056
-0.043,2.974,7.460,-0.178,0.137,0.048
-0.014,3.026,7.719,-0.165,0.117,0.036
0.010,3.117,7.834,-0.151,0.096,0.013
0.043,3.261,7.939,-0.148,0.066,-0.026
0.005,3.352,8.078,-0.157,0.037,-0.081
-0.177,3.347,8.274,-0.169,0.021,-0.134
-0.441,3.309,8.485,-0.178,0.010,-0.172
-0.651,3.227,8.710,-0.185,0.006,-0.190
-0.785,3.189,8.950,-0.185,0.005,-0.197
-0.905,3.160,9.112,-0.189,0.012,-0.202
-1.025,3.103,9.294,-0.190,0.036,-0.202
-1.188,2.993,9.452,-0.189,0.100,-0.183
-1.417,2.907,9.591,-0.181,0.136,-0.167
-1.494,2.854,9.773,-0.168,0.165,-0.141
-1.585,2.849,9.831,-0.152,0.219,-0.111
-1.609,2.887,9.874,-0.137,0.245,-0.092
-1.638,2.926,9.864,-0.122,0.272,-0.088
-1.781,2.954,9.792,-0.114,0.286,-0.099
-1.954,2.983,9.716,-0.108,0.278,-0.121
-2.227,2.978,9.673,-0.107,0.252,-0.145
-2.552,2.868,9.692,-0.104,0.225,-0.154
-2.887,2.811,9.658,-0.086,0.157,-0.157
-3.002,2.739,9.649,-0.069,0.095,-0.142
-3.065,2.715,9.591,-0.052,0.061,-0.112
-2.998,2.725,9.553,-0.041,0.014,-0.081
-2.806,2.768,9.419,-0.033,0.009,-0.055
-2.701,2.859,9.270,-0.036,0.029,-0.036
-2.672,2.950,9.108,-0.054,0.049,-0.023
-2.667,3.026,8.978,-0.084,0.064,-0.008
-2.552,3.065,8.993,-0.120,0.080,0.007

-7.934,-5.775,27.117,0.185,0.185,1.140
-8.552,-5.957,27.739,0.250,0.260,1.079
-9.625,-6.340,28.237,0.324,0.228,0.980
-10.640,-6.857,28.491,0.395,0.092,0.883
-11.641,-7.374,28.510,0.471,-0.114,0.792
-12.498,-8.102,28.457,0.568,-0.385,0.711
-13.331,-9.103,28.678,0.726,-0.706,0.658
-14.107,-10.386,29.348,1.008,-1.042,0.655
-14.600,-11.641,29.746,1.423,-1.286,0.726
-14.787,-12.397,29.133,1.939,-1.419,0.857
-14.624,-12.503,27.179,2.502,-1.501,1.009
-14.207,-12.345,24.847,2.854,-1.553,1.096
-13.824,-12.024,22.443,3.110,-1.581,1.154
-13.527,-11.736,20.260,3.279,-1.617,1.214
-13.101,-11.526,18.344,3.397,-1.639,1.299
-12.450,-11.229,16.166,3.510,-1.615,1.434
-11.736,-10.884,14.303,3.596,-1.574,1.559
-10.769,-10.482,12.450,3.680,-1.497,1.687
-9.725,-9.955,10.491,3.750,-1.342,1.799
-8.768,-9.352,8.432,3.791,-1.164,1.873
-7.882,-8.672,6.393,3.795,-1.016,1.900
-7.087,-7.901,4.424,3.754,-0.915,1.882
-6.330,-7.005,2.394,3.643,-0.831,1.835
-5.842,-6.230,0.919,3.493,-0.754,1.809
-5.401,-5.440,-0.345,3.269,-0.681,1.814
-4.731,-4.755,-1.288,3.054,-0.600,1.864
-3.792,-4.075,-2.011,2.847,-0.503,1.936
-2.452,-3.366,-2.595,2.634,-0.405,1.980
-0.977,-2.662,-3.108,2.417,-0.223,2.001
0.335,-1.925,-3.701,2.196,-0.070,1.954
1.547,-1.274,-4.195,1.960,0.020,1.827
2.413,-0.690,-4.621,1.724,0.082,1.650
2.729,-0.441,-4.468,1.495,0.061,1.438
2.591,-0.503,-3.663,1.361,-0.005,1.268
2.284,-0.694,-2.705,1.332,-0.061,1.162
2.030,-0.728,-2.045,1.385,-0.092,1.113
1.954,-0.584,-1.762,1.452,-0.150,1.070
2.030,-0.316,-1.748,1.499,-0.181,1.022
1.930,0.000,-1.935,1.516,-0.197,0.964
1.800,0.283,-1.954,1.488,-0.257,0.909
1.772,0.402,-1.709,1.439,-0.319,0.867
1.796,0.474,-1.437,1.393,-0.377,0.838
1.968,0.603,-1.298,1.353,-0.438,0.811
2.308,0.824,-1.221,1.315,-0.485,0.770
2.662,1.053,-1.188,1.271,-0.496,0.704
2.892,1.255,-1.207,1.215,-0.487,0.614
2.959,1.475,-1.293,1.140,-0.465,0.509
2.849,1.657,-1.331,1.042,-0.441,0.404
2.682,1.800,-1.326,0.919,-0.425,0.308
2.480,1.944,-1.207,0.772,-0.433,0.209
2.260,2.011,-0.819,0.613,-0.456,0.098
1.906,1.939,-0.187,0.458,-0.466,-0.004
1.451,1.824,0.584,0.338,-0.461,-0.073
1.034,1.724,1.322,0.250,-0.432,-0.100
0.766,1.705,2.002,0.183,-0.370,-0.093
0.627,1.695,2.552,0.127,-0.303,-0.073
0.560,1.604,3.117,0.087,-0.229,-0.051
0.479,1.551,3.658,0.067,-0.138,-0.030
0.350,1.528,4.027,0.062,-0.037,-0.013
0.215,1.561,4.243,0.058,0.049,-0.003
0.034,1.633,4.386,0.044,0.113,-0.000
-0.158,1.686,4.515,0.023,0.143,-0.005
-0.354,1.748,4.697,-0.001,0.149,-0.009
-0.479,1.848,4.855,-0.024,0.145,-0.011
-0.546,1.992,5.052,-0.042,0.141,-0.011
-0.589,2.164,5.133,-0.059,0.129,-0.016
-0.613,2.342,5.162,-0.083,0.110,-0.027
-0.661,2.485,5.229,-0.119,0.085,-0.047
-0.795,2.562,5.406,-0.164,0.040,-0.068
-0.852,2.485,5.880,-0.203,-0.016,-0.084
-0.785,2.404,6.426,-0.223,-0.060,-0.105
-0.723,2.394,6.886,-0.233,-0.086,-0.133
-0.795,2.380,7.250,-0.240,-0.101,-0.164
-0.924,2.380,7.666,-0.248,-0.101,-0.184
-1.073,2.361,7.987,-0.255,-0.071,-0.185
-1.178,2.375,8.217,-0.262,-0.017,-0.172
-1.231,2.418,8.423,-0.266,0.042,-0.152
-1.226,2.456,8.581,-0.266,0.094,-0.139
-1.235,2.519,8.691,-0.262,0.134,-0.141
-1.355,2.538,8.763,-0.258,0.167,-0.154
-1.585,2.509,8.835,-0.252,0.176,-0.168
-1.839,2.461,8.950,-0.247,0.173,-0.173
-2.035,2.423,9.069,-0.239,0.152,-0.166
-2.112,2.380,9.227,-0.232,0.124,-0.156
-2.078,2.375,9.376,-0.228,0.099,-0.154
-2.145,2.385,9.553,-0.226,0.080,-0.161
-2.251,2.365,9.797,-0.224,0.072,-0.164
-2.327,2.365,9.941,-0.215,0.080,-0.160
-2.389,2.466,9.941,-0.205,0.100,-0.154
-2.490,2.523,9.869,-0.207,0.111,-0.153
-2.567,2.547,9.855,-0.218,0.115,-0.151
-2.648,2.500,9.907,-0.227,0.110,-0.151
-2.705,2.385,10.022,-0.228,0.104,-0.148
-2.777,2.313,10.056,-0.222,0.096,-0.144
-2.863,2.279,10.056,-0.216,0.083,-0.136
-2.892,2.260,10.022,-0.213,0.076,-0.123
-2.863,2.241,10.032,-0.213,0.088,-0.105
-2.801,2.270,10.060,-0.207,0.112,-0.088
-2.835,2.308,9.965,-0.199,0.137,-0.080
-2.868,2.394,9.840,-0.195,0.146,-0.075

-9.452,-6.555,25.551,-0.137,-0.059,0.706
