aX,aY,aZ,gX,gY,gZ
-7.264,-10.851,3.112,1.896,-0.197,-4.366
-8.691,-10.827,3.127,1.717,-0.181,-4.366
-10.429,-10.731,3.227,1.533,-0.120,-4.366
-11.918,-10.630,3.390,1.383,-0.048,-4.366
-13.317,-10.400,3.572,1.234,0.027,-4.366
-14.442,-10.233,3.735,1.075,0.074,-4.366
-15.208,-10.223,4.051,0.920,0.104,-4.366
-15.763,-10.180,4.506,0.775,0.151,-4.096
-16.214,-10.056,4.951,0.646,0.217,-3.814
-16.735,-9.711,5.325,0.512,0.279,-3.516
-17.195,-9.409,5.641,0.409,0.290,-3.288
-17.751,-9.141,6.067,0.331,0.262,-3.074
-18.397,-8.835,6.517,0.286,0.197,-2.860
-18.953,-8.442,6.929,0.268,0.090,-2.626
-19.201,-7.968,7.245,0.266,-0.027,-2.361
-19.115,-7.412,7.432,0.275,-0.109,-2.074
-18.656,-6.891,7.508,0.285,-0.154,-1.784
-17.909,-6.402,7.561,0.299,-0.183,-1.512
-17.071,-5.914,7.575,0.314,-0.199,-1.273
-16.257,-5.430,7.518,0.324,-0.211,-1.068
-15.443,-4.908,7.422,0.323,-0.217,-0.888
-14.485,-4.357,7.307,0.313,-0.206,-0.714
-13.795,-3.864,7.293,0.297,-0.188,-0.591
-13.269,-3.381,7.250,0.281,-0.170,-0.480
-12.828,-2.921,7.235,0.265,-0.155,-0.367
-12.402,-2.437,7.168,0.248,-0.139,-0.240
-11.861,-1.925,7.053,0.220,-0.130,-0.103
-11.143,-1.446,6.986,0.180,-0.122,0.035
-10.281,-0.996,7.010,0.135,-0.122,0.157
-9.352,-0.599,7.092,0.087,-0.120,0.261
-8.384,-0.259,7.173,0.045,-0.114,0.337
-7.499,0.029,7.269,0.008,-0.093,0.386
-6.756,0.244,7.441,-0.022,-0.069,0.408
-6.172,0.402,7.580,-0.041,-0.052,0.409
-5.722,0.575,7.724,-0.050,-0.040,0.398
-5.435,0.670,7.867,-0.054,-0.036,0.386
-5.171,0.747,7.987,-0.052,-0.035,0.377
-4.903,0.824,8.025,-0.050,-0.033,0.372
-4.616,0.905,8.040,-0.060,-0.028,0.360
-4.396,0.929,8.088,-0.079,-0.023,0.342
-4.243,0.886,8.217,-0.101,-0.018,0.322
-4.199,0.781,8.341,-0.123,-0.012,0.310
-4.171,0.675,8.523,-0.144,-0.002,0.308
-4.070,0.589,8.662,-0.165,0.011,0.318
-3.917,0.493,8.801,-0.188,0.022,0.326
-3.754,0.412,8.959,-0.212,0.033,0.330
-3.596,0.316,9.160,-0.233,0.050,0.335
-3.438,0.230,9.347,-0.244,0.071,0.336
-3.304,0.172,9.467,-0.248,0.094,0.332
-3.275,0.129,9.481,-0.248,0.111,0.325
-3.357,0.091,9.457,-0.250,0.122,0.321
-3.428,0.019,9.491,-0.256,0.123,0.326
-3.390,-0.105,9.610,-0.256,0.116,0.337
-3.280,-0.201,9.697,-0.251,0.106,0.337
-3.199,-0.273,9.764,-0.245,0.096,0.326
-3.218,-0.369,9.898,-0.238,0.091,0.313
-3.304,-0.474,10.022,-0.223,0.096,0.306
-3.376,-0.527,10.094,-0.199,0.107,0.308
-3.428,-0.527,10.046,-0.175,0.118,0.315
-3.476,-0.484,9.941,-0.157,0.117,0.321
-3.486,-0.445,9.826,-0.145,0.106,0.324
-3.476,-0.421,9.692,-0.136,0.098,0.323
-3.529,-0.397,9.548,-0.134,0.089,0.319
-3.634,-0.369,9.380,-0.143,0.073,0.317
-3.730,-0.364,9.222,-0.159,0.055,0.319
-3.840,-0.397,9.179,-0.181,0.042,0.328
-3.946,-0.460,9.218,-0.201,0.032,0.345
-3.994,-0.517,9.299,-0.217,0.032,0.371
-4.003,-0.551,9.380,-0.230,0.043,0.405
-3.974,-0.546,9.433,-0.245,0.061,0.439
-3.879,-0.551,9.558,-0.259,0.073,0.468
-3.711,-0.603,9.744,-0.265,0.084,0.491
-3.486,-0.670,9.902,-0.257,0.094,0.498
-3.342,-0.694,9.993,-0.242,0.100,0.493
-3.318,-0.699,10.022,-0.230,0.094,0.479
-3.390,-0.728,10.008,-0.223,0.078,0.464
-3.572,-0.785,10.027,-0.220,0.056,0.450
-3.759,-0.824,10.060,-0.217,0.031,0.448
-3.936,-0.871,10.094,-0.214,0.006,0.457
-4.065,-0.910,10.075,-0.211,-0.013,0.473
-4.161,-0.919,10.008,-0.209,-0.023,0.494

18.847,-4.611,19.709,-0.652,-0.255,0.986
21.926,-5.061,21.462,-0.610,-0.161,0.692
24.565,-5.459,22.845,-0.478,-0.063,0.242
26.466,-5.765,23.674,-0.263,0.070,-0.336
27.514,-6.100,23.985,-0.002,0.228,-1.010
27.586,-6.503,23.865,0.298,0.380,-1.745
26.671,-7.029,23.377,0.636,0.473,-2.508
24.426,-7.676,22.285,1.065,0.422,-3.358
22.170,-8.174,20.944,1.419,0.288,-3.990
20.001,-8.638,19.321,1.740,0.123,-4.366
17.980,-9.017,17.497,2.017,-0.073,-4.366
16.328,-9.385,15.672,2.245,-0.233,-4.366
14.667,-9.902,13.872,2.440,-0.371,-4.366
13.115,-10.319,12.086,2.611,-0.480,-4.366
11.143,-10.745,9.898,2.749,-0.519,-4.366
9.199,-10.965,7.987,2.803,-0.511,-4.366
7.082,-11.253,6.033,2.801,-0.484,-4.366
4.769,-11.554,4.223,2.733,-0.500,-4.366
2.495,-11.914,2.811,2.579,-0.524,-4.366
0.067,-12.426,1.896,2.348,-0.491,-4.366
-2.648,-12.948,1.374,2.059,-0.468,-4.366
-5.416,-13.494,1.293,1.736,-0.494,-4.366
-8.126,-14.097,1.915,1.377,-0.536,-4.366
-10.874,-14.734,3.151,1.025,-0.588,-4.366
-13.968,-15.409,5.277,0.694,-0.642,-4.366
-16.281,-15.744,7.226,0.500,-0.630,-4.366
-18.134,-15.912,8.863,0.390,-0.521,-4.366
-19.527,-15.768,9.974,0.351,-0.324,-4.366
-20.523,-15.380,10.578,0.352,-0.078,-4.366
-21.131,-14.753,10.793,0.363,0.154,-4.366
-21.395,-13.910,10.745,0.379,0.366,-4.348
-21.208,-13.269,10.669,0.400,0.505,-3.966
-20.834,-12.737,10.520,0.446,0.637,-3.642
-20.552,-12.172,10.080,0.517,0.755,-3.373
-20.451,-11.468,9.352,0.580,0.834,-3.145
-20.581,-10.736,8.566,0.619,0.867,-2.918
-20.700,-9.855,7.681,0.624,0.838,-2.639
-20.595,-9.160,7.135,0.605,0.764,-2.382
-20.303,-8.485,6.838,0.574,0.650,-2.121
-19.786,-7.829,6.704,0.542,0.512,-1.862
-19.106,-7.140,6.613,0.515,0.377,-1.609
-18.292,-6.354,6.527,0.481,0.274,-1.363
-17.329,-5.478,6.402,0.436,0.213,-1.128
-16.228,-4.640,6.311,0.380,0.176,-0.918
-15.141,-4.022,6.436,0.329,0.172,-0.731
-14.241,-3.639,6.862,0.317,0.200,-0.548
-13.503,-3.333,7.230,0.374,0.245,-0.357
-12.594,-2.648,7.039,0.477,0.311,-0.116
-11.607,-1.887,6.393,0.528,0.379,0.086
-10.511,-1.077,5.569,0.511,0.426,0.246
-9.495,-0.450,4.908,0.436,0.436,0.353
-8.653,-0.053,4.611,0.329,0.411,0.416
-7.968,0.220,4.616,0.222,0.361,0.452
-7.412,0.335,4.846,0.139,0.292,0.476
-6.934,0.421,5.152,0.087,0.225,0.502
-6.460,0.532,5.382,0.053,0.171,0.524
-5.995,0.694,5.545,0.013,0.128,0.543
-5.550,0.843,5.847,-0.045,0.088,0.558
-5.104,0.857,6.306,-0.103,0.051,0.568
-4.726,0.795,6.881,-0.153,0.028,0.575
-4.439,0.680,7.465,-0.185,0.016,0.579
-4.257,0.584,7.910,-0.202,0.016,0.583
-4.065,0.527,8.274,-0.214,0.027,0.594
-3.840,0.469,8.566,-0.223,0.048,0.606
-3.587,0.397,8.815,-0.234,0.075,0.605
-3.400,0.326,9.031,-0.239,0.094,0.589
-3.328,0.230,9.251,-0.236,0.102,0.567
-3.328,0.144,9.385,-0.225,0.103,0.549
-3.333,0.096,9.452,-0.213,0.100,0.545
-3.256,0.053,9.452,-0.212,0.091,0.548
-3.031,0.000,9.505,-0.216,0.082,0.545
-2.792,-0.062,9.582,-0.222,0.074,0.521
-2.672,-0.120,9.639,-0.228,0.070,0.485
-2.749,-0.211,9.740,-0.234,0.070,0.452
-2.921,-0.292,9.850,-0.237,0.065,0.433
-3.050,-0.369,9.993,-0.237,0.052,0.431
-3.065,-0.426,10.199,-0.232,0.034,0.439
-2.998,-0.450,10.338,-0.218,0.026,0.450
-2.916,-0.493,10.410,-0.197,0.028,0.456
-2.907,-0.493,10.381,-0.168,0.035,0.456
-2.926,-0.460,10.290,-0.145,0.037,0.456
-2.916,-0.412,10.127,-0.129,0.044,0.459
-2.921,-0.369,9.946,-0.123,0.052,0.459
-2.926,-0.359,9.826,-0.128,0.054,0.453
-2.998,-0.402,9.697,-0.141,0.054,0.444
-3.146,-0.450,9.663,-0.156,0.054,0.439
-3.294,-0.488,9.634,-0.169,0.052,0.438
-3.433,-0.546,9.591,-0.180,0.048,0.441
-3.548,-0.599,9.505,-0.193,0.043,0.447
-3.687,-0.613,9.390,-0.208,0.037,0.453
-3.816,-0.690,9.337,-0.226,0.028,0.463
-3.936,-0.781,9.342,-0.241,0.020,0.478
-4.056,-0.934,9.457,-0.248,0.014,0.503
-4.070,-1.015,9.601,-0.241,0.012,0.535
-3.936,-1.044,9.697,-0.226,0.012,0.567
-3.721,-1.006,9.744,-0.209,0.012,0.580
-3.610,-0.948,9.730,-0.199,0.009,0.572
-3.716,-0.934,9.711,-0.196,-0.005,0.554
-3.946,-0.962,9.725,-0.194,-0.024,0.547
-4.185,-0.996,9.711,-0.189,-0.046,0.558

17.411,-5.689,18.814,-0.106,-0.418,-0.085
18.704,-6.096,19.561,0.070,-0.317,-0.567
19.470,-6.479,20.020,0.227,-0.244,-1.010
20.087,-6.938,20.442,0.385,-0.159,-1.458
20.413,-7.427,20.691,0.552,-0.040,-1.903
20.456,-7.910,20.686,0.729,0.077,-2.349
20.154,-8.370,20.466,0.911,0.199,-2.793
19.436,-8.839,19.925,1.093,0.317,-3.220
18.431,-9.270,19.125,1.273,0.435,-3.615
17.248,-9.749,17.913,1.468,0.581,-4.040
16.156,-10.166,16.731,1.621,0.724,-4.366
14.691,-10.649,15.601,1.760,0.833,-4.366
13.130,-11.100,14.432,1.897,0.902,-4.366
11.674,-11.444,13.163,2.016,0.985,-4.366
9.610,-11.794,11.641,2.131,1.059,-4.366
7.738,-12.038,10.491,2.223,1.051,-4.366
5.626,-12.368,9.419,2.313,1.024,-4.366
3.160,-12.503,8.413,2.408,0.954,-4.366
0.488,-12.641,7.408,2.497,0.820,-4.366
-2.346,-12.694,6.345,2.582,0.616,-4.366
-5.253,-12.608,5.296,2.629,0.345,-4.366
-8.045,-12.407,4.424,2.609,0.037,-4.366
-10.721,-12.072,3.716,2.503,-0.269,-4.366
-13.202,-11.770,3.381,2.316,-0.563,-4.366
-15.658,-11.487,3.601,2.038,-0.851,-4.366
-17.305,-11.243,4.214,1.777,-1.012,-4.366
-18.378,-10.970,4.966,1.542,-1.042,-4.366
-18.938,-10.635,5.641,1.336,-0.940,-4.366
-19.144,-10.171,6.033,1.163,-0.711,-4.366
-19.245,-9.610,6.230,1.009,-0.426,-4.366
-19.326,-9.103,6.340,0.867,-0.140,-4.190
-19.527,-8.681,6.651,0.750,0.125,-3.780
-19.628,-8.313,6.953,0.701,0.285,-3.452
-19.604,-7.824,7.092,0.678,0.379,-3.151
-19.431,-7.226,7.092,0.666,0.416,-2.880
-19.182,-6.627,7.053,0.657,0.405,-2.632
-18.866,-6.038,7.049,0.649,0.367,-2.398
-18.440,-5.444,7.034,0.639,0.302,-2.169
-17.808,-4.841,7.044,0.625,0.212,-1.946
-16.989,-4.223,6.991,0.607,0.114,-1.735
-16.008,-3.620,6.972,0.583,0.022,-1.548
-15.036,-3.108,6.900,0.551,-0.049,-1.382
-14.102,-2.614,6.804,0.508,-0.093,-1.236
-13.230,-2.164,6.728,0.453,-0.123,-1.106
-12.254,-1.906,6.991,0.401,-0.131,-0.966
-11.377,-1.690,7.240,0.384,-0.090,-0.851
-10.568,-1.393,7.293,0.378,-0.008,-0.744
-9.855,-0.986,7.116,0.362,0.081,-0.650
-9.218,-0.637,6.871,0.321,0.154,-0.580
-8.681,-0.364,6.665,0.260,0.213,-0.533
-8.289,-0.144,6.507,0.195,0.256,-0.499
-8.030,-0.024,6.479,0.135,0.282,-0.468
-7.882,0.024,6.584,0.098,0.292,-0.427
-7.743,0.014,6.771,0.089,0.281,-0.370
-7.594,0.062,6.929,0.114,0.256,-0.302
-7.460,0.139,6.996,0.155,0.220,-0.225
-7.326,0.335,6.934,0.189,0.181,-0.142
-7.077,0.560,6.795,0.200,0.141,-0.057
-6.665,0.785,6.694,0.179,0.111,0.024
-6.153,0.905,6.637,0.135,0.089,0.088
-5.626,0.924,6.709,0.085,0.076,0.128
-5.258,0.871,6.857,0.042,0.070,0.149
-5.033,0.814,6.991,0.007,0.071,0.162
-4.980,0.795,6.991,-0.026,0.075,0.170
-5.028,0.776,6.953,-0.070,0.075,0.179
-5.104,0.757,7.044,-0.124,0.072,0.195
-5.085,0.656,7.298,-0.178,0.064,0.221
-4.899,0.546,7.599,-0.219,0.060,0.248
-4.664,0.464,7.853,-0.250,0.065,0.267
-4.487,0.431,8.054,-0.281,0.077,0.275
-4.386,0.373,8.260,-0.318,0.097,0.284
-4.391,0.249,8.562,-0.351,0.118,0.300
-4.372,0.134,8.969,-0.366,0.140,0.327
-4.324,0.048,9.323,-0.363,0.158,0.357
-4.219,-0.014,9.586,-0.344,0.170,0.382
-4.137,-0.043,9.730,-0.316,0.175,0.394
-4.104,-0.062,9.749,-0.286,0.176,0.401
-4.113,-0.057,9.740,-0.264,0.169,0.407
-4.108,-0.062,9.744,-0.248,0.157,0.420
-4.061,-0.072,9.764,-0.238,0.141,0.435
-3.989,-0.096,9.744,-0.235,0.123,0.447
-3.864,-0.124,9.706,-0.234,0.113,0.453
-3.802,-0.120,9.649,-0.236,0.112,0.449
-3.845,-0.134,9.524,-0.245,0.120,0.442
-4.017,-0.148,9.414,-0.259,0.126,0.441
-4.161,-0.182,9.342,-0.280,0.127,0.450
-4.290,-0.201,9.328,-0.302,0.126,0.471
-4.319,-0.249,9.385,-0.323,0.124,0.499
-4.290,-0.283,9.495,-0.341,0.118,0.530
-4.209,-0.345,9.658,-0.354,0.118,0.561
-4.089,-0.407,9.850,-0.354,0.122,0.592
-3.950,-0.441,9.926,-0.346,0.130,0.620
-3.845,-0.455,9.960,-0.339,0.136,0.640
-3.759,-0.464,9.979,-0.337,0.137,0.650
-3.754,-0.455,9.965,-0.335,0.132,0.658
-3.754,-0.474,9.974,-0.335,0.124,0.668
-3.768,-0.484,9.979,-0.335,0.110,0.680
-3.759,-0.484,9.941,-0.335,0.093,0.690
-3.692,-0.503,9.907,-0.336,0.071,0.699
-3.553,-0.536,9.850,-0.332,0.049,0.696

19.623,-5.669,17.435,-0.398,-0.947,0.076
22.170,-6.072,18.047,-0.318,-0.844,-0.346
24.316,-6.512,18.569,-0.189,-0.723,-0.921
25.948,-7.111,19.000,-0.015,-0.548,-1.624
26.667,-7.877,19.355,0.209,-0.299,-2.401
25.877,-8.892,19.484,0.529,-0.016,-3.321
23.899,-9.845,19.144,0.836,0.153,-4.016
21.533,-10.592,18.263,1.112,0.247,-4.366
19.474,-11.253,17.248,1.327,0.298,-4.366
17.645,-11.918,16.295,1.478,0.329,-4.366
15.960,-12.675,15.514,1.604,0.392,-4.366
13.685,-13.575,14.739,1.746,0.514,-4.366
11.463,-14.394,14.030,1.879,0.602,-4.366
9.021,-15.026,13.240,2.018,0.775,-4.366
5.990,-15.505,12.072,2.143,0.899,-4.366
3.079,-15.687,10.803,2.232,0.932,-4.366
0.316,-15.663,9.433,2.270,0.923,-4.366
-2.380,-15.409,8.145,2.250,0.847,-4.366
-5.219,-14.954,7.001,2.160,0.666,-4.366
-7.379,-14.542,6.488,2.055,0.476,-4.366
-9.275,-14.064,6.297,1.930,0.288,-4.366
-10.884,-13.680,6.383,1.806,0.130,-4.366
-12.244,-13.336,6.761,1.698,0.025,-4.366
-13.446,-12.981,7.192,1.623,-0.015,-4.366
-14.451,-12.589,7.503,1.577,-0.007,-4.366
-15.174,-12.134,7.623,1.555,0.084,-4.366
-15.783,-11.665,7.451,1.538,0.298,-4.366
-16.812,-10.937,6.795,1.477,0.581,-4.366
-17.870,-10.252,6.081,1.386,0.694,-4.366
-18.689,-9.515,5.583,1.252,0.710,-4.366
-19.254,-8.887,5.315,1.090,0.697,-4.342
-19.561,-8.303,5.306,0.921,0.667,-4.022
-19.589,-7.724,5.473,0.764,0.607,-3.718
-19.455,-7.106,5.780,0.628,0.519,-3.445
-19.178,-6.584,6.244,0.528,0.436,-3.200
-18.818,-6.072,6.632,0.461,0.395,-2.976
-18.541,-5.555,6.905,0.422,0.367,-2.769
-18.316,-5.076,7.302,0.408,0.321,-2.531
-18.134,-4.693,7.590,0.423,0.275,-2.316
-17.875,-4.391,7.858,0.468,0.239,-2.075
-17.506,-4.094,8.092,0.552,0.213,-1.803
-16.874,-3.677,7.944,0.657,0.207,-1.522
-15.979,-3.036,7.355,0.739,0.219,-1.259
-14.964,-2.294,6.608,0.766,0.232,-1.046
-14.035,-1.681,6.043,0.739,0.240,-0.882
-13.269,-1.221,5.693,0.686,0.252,-0.746
-12.546,-0.843,5.420,0.617,0.271,-0.623
-11.933,-0.488,5.162,0.535,0.281,-0.516
-11.425,-0.220,5.018,0.452,0.283,-0.416
-10.970,-0.010,4.946,0.370,0.274,-0.312
-10.348,0.215,4.875,0.278,0.261,-0.192
-9.869,0.354,4.956,0.204,0.246,-0.096
-9.347,0.479,5.138,0.137,0.214,-0.006
-8.854,0.622,5.339,0.075,0.183,0.078
-8.356,0.718,5.540,0.013,0.148,0.153
-7.915,0.752,5.856,-0.043,0.112,0.222
-7.494,0.766,6.220,-0.086,0.077,0.288
-7.072,0.771,6.512,-0.120,0.057,0.353
-6.656,0.781,6.718,-0.152,0.053,0.414
-6.220,0.776,6.919,-0.188,0.052,0.467
-5.799,0.690,7.168,-0.221,0.050,0.511
-5.444,0.594,7.422,-0.241,0.050,0.544
-5.061,0.517,7.709,-0.255,0.053,0.575
-4.717,0.464,7.877,-0.267,0.060,0.596
-4.434,0.479,7.939,-0.287,0.066,0.608
-4.219,0.469,8.059,-0.324,0.066,0.613
-4.056,0.402,8.298,-0.363,0.058,0.618
-3.888,0.297,8.595,-0.395,0.048,0.626
-3.649,0.215,8.873,-0.418,0.040,0.641
-3.352,0.172,9.131,-0.437,0.031,0.651
-3.041,0.120,9.380,-0.452,0.021,0.649
-2.739,0.067,9.620,-0.460,0.013,0.636
-2.500,-0.005,9.831,-0.458,0.011,0.612
-2.337,-0.072,10.089,-0.444,0.019,0.580
-2.260,-0.168,10.324,-0.414,0.033,0.551
-2.298,-0.259,10.491,-0.368,0.051,0.529
-2.370,-0.326,10.544,-0.305,0.078,0.518
-2.404,-0.283,10.434,-0.260,0.097,0.512
-2.452,-0.225,10.295,-0.234,0.114,0.505
-2.528,-0.192,10.175,-0.223,0.131,0.498
-2.567,-0.211,10.113,-0.220,0.151,0.494
-2.591,-0.239,10.046,-0.217,0.167,0.490
-2.634,-0.254,9.979,-0.212,0.167,0.481
-2.710,-0.268,9.936,-0.205,0.153,0.466
-2.801,-0.273,9.874,-0.200,0.131,0.454
-2.897,-0.259,9.821,-0.195,0.105,0.443
-2.954,-0.268,9.773,-0.195,0.078,0.433
-3.002,-0.316,9.744,-0.197,0.054,0.427
-3.026,-0.364,9.802,-0.197,0.039,0.423
-3.045,-0.393,9.797,-0.195,0.035,0.423
-3.122,-0.421,9.706,-0.199,0.040,0.424
-3.251,-0.445,9.606,-0.211,0.041,0.426
-3.366,-0.469,9.543,-0.227,0.041,0.429
-3.515,-0.532,9.572,-0.246,0.038,0.432
-3.682,-0.608,9.658,-0.259,0.031,0.442
-3.812,-0.694,9.744,-0.263,0.022,0.456
-3.893,-0.737,9.787,-0.264,0.012,0.473
-3.965,-0.766,9.835,-0.269,0.002,0.492
-4.017,-0.804,9.859,-0.275,-0.011,0.514
-4.013,-0.867,9.931,-0.279,-0.019,0.539

19.115,-5.329,17.540,-0.129,-0.071,-1.403
19.968,-6.124,18.210,0.117,0.109,-1.954
19.771,-6.809,18.392,0.382,0.280,-2.430
18.972,-7.374,18.024,0.655,0.412,-2.863
17.947,-7.815,17.301,0.879,0.464,-3.233
17.195,-8.236,16.601,1.035,0.472,-3.554
16.611,-8.811,16.223,1.140,0.462,-3.858
16.099,-9.515,16.137,1.226,0.449,-4.164
15.265,-10.482,16.175,1.340,0.485,-4.366
14.279,-11.349,16.257,1.460,0.553,-4.366
13.015,-12.177,16.156,1.596,0.650,-4.366
11.487,-12.838,15.845,1.748,0.748,-4.366
9.797,-13.398,15.490,1.887,0.818,-4.366
7.810,-13.925,15.088,2.026,0.898,-4.366
5.219,-14.581,14.562,2.207,0.939,-4.366
2.969,-15.007,13.958,2.378,0.965,-4.366
0.599,-15.160,13.001,2.559,0.966,-4.366
-1.733,-15.093,11.732,2.722,0.914,-4.366
-4.061,-14.844,10.223,2.850,0.829,-4.366
-6.531,-14.404,8.557,2.922,0.698,-4.366
-9.069,-13.910,6.847,2.946,0.518,-4.366
-11.655,-13.312,5.148,2.909,0.272,-4.366
-14.427,-12.517,3.558,2.776,-0.027,-4.366
-16.549,-11.851,2.682,2.572,-0.184,-4.366
-18.526,-11.267,2.006,2.320,-0.260,-4.366
-20.245,-10.707,1.518,2.050,-0.365,-4.366
-21.232,-10.142,1.288,1.750,-0.478,-4.366
-21.586,-9.529,1.437,1.425,-0.483,-4.366
-21.725,-9.031,1.958,1.106,-0.363,-4.366
-21.845,-8.643,2.749,0.831,-0.151,-4.253
-22.137,-8.246,3.740,0.591,0.133,-3.805
-22.410,-7.920,4.511,0.455,0.321,-3.426
-22.520,-7.513,5.215,0.374,0.429,-3.053
-22.362,-7.140,5.928,0.350,0.477,-2.689
-21.936,-6.699,6.416,0.390,0.492,-2.341
-21.328,-6.144,6.517,0.469,0.479,-2.018
-20.619,-5.473,6.292,0.551,0.426,-1.724
-19.733,-4.688,5.918,0.609,0.329,-1.460
-18.675,-3.926,5.531,0.633,0.205,-1.223
-17.521,-3.194,5.224,0.624,0.068,-1.013
-16.319,-2.523,5.104,0.591,-0.057,-0.823
-14.969,-1.834,5.033,0.535,-0.151,-0.620
-13.834,-1.322,5.028,0.470,-0.180,-0.449
-12.637,-0.819,5.023,0.390,-0.170,-0.289
-11.502,-0.393,5.066,0.299,-0.120,-0.136
-10.410,-0.010,5.243,0.201,-0.059,0.005
-9.313,0.225,5.521,0.114,0.007,0.130
-8.250,0.417,5.818,0.046,0.077,0.230
-7.365,0.594,6.153,-0.005,0.146,0.304
-6.618,0.723,6.378,-0.039,0.196,0.353
-6.014,0.824,6.603,-0.062,0.233,0.379
-5.531,0.886,6.823,-0.078,0.248,0.390
-5.143,0.962,6.972,-0.087,0.244,0.388
-4.851,1.001,7.140,-0.099,0.217,0.378
-4.549,1.015,7.307,-0.113,0.170,0.371
-4.209,1.058,7.518,-0.133,0.123,0.372
-3.783,1.063,7.805,-0.160,0.088,0.381
-3.247,1.015,8.164,-0.183,0.066,0.388
-2.720,0.915,8.610,-0.190,0.056,0.377
-2.255,0.814,9.050,-0.173,0.066,0.342
-1.992,0.776,9.313,-0.140,0.096,0.291
-1.982,0.757,9.371,-0.110,0.128,0.237
-2.126,0.723,9.342,-0.088,0.151,0.193
-2.318,0.685,9.294,-0.078,0.157,0.164
-2.428,0.646,9.275,-0.075,0.146,0.146
-2.466,0.618,9.266,-0.076,0.128,0.129
-2.538,0.565,9.203,-0.080,0.111,0.110
-2.658,0.522,9.131,-0.090,0.099,0.094
-2.782,0.488,9.064,-0.108,0.094,0.086
-2.863,0.421,9.079,-0.132,0.091,0.084
-2.907,0.364,9.165,-0.159,0.092,0.090
-2.883,0.292,9.290,-0.178,0.101,0.100
-2.796,0.235,9.448,-0.197,0.122,0.106
-2.763,0.172,9.572,-0.212,0.151,0.107
-2.811,0.096,9.711,-0.221,0.177,0.104
-2.911,-0.005,9.864,-0.219,0.198,0.099
-3.055,-0.101,10.046,-0.210,0.212,0.100
-3.203,-0.158,10.118,-0.189,0.217,0.106
-3.338,-0.177,10.065,-0.166,0.205,0.111
-3.472,-0.187,10.017,-0.147,0.175,0.110
-3.582,-0.187,9.931,-0.129,0.131,0.108
-3.644,-0.187,9.821,-0.115,0.085,0.107
-3.639,-0.196,9.735,-0.106,0.048,0.107
-3.649,-0.196,9.649,-0.103,0.018,0.106
-3.658,-0.230,9.625,-0.105,-0.004,0.111
-3.682,-0.249,9.586,-0.115,-0.013,0.122
-3.687,-0.273,9.558,-0.132,-0.008,0.139
-3.692,-0.297,9.548,-0.156,0.003,0.158
-3.701,-0.311,9.553,-0.185,0.016,0.178
-3.749,-0.359,9.596,-0.214,0.031,0.201
-3.764,-0.393,9.682,-0.242,0.044,0.228
-3.783,-0.436,9.787,-0.263,0.057,0.258
-3.745,-0.503,9.922,-0.279,0.067,0.289
-3.687,-0.546,10.084,-0.282,0.072,0.318
-3.601,-0.536,10.218,-0.277,0.070,0.338
-3.486,-0.541,10.319,-0.262,0.061,0.348
-3.419,-0.546,10.424,-0.239,0.048,0.347
-3.400,-0.551,10.491,-0.212,0.032,0.344
-3.395,-0.541,10.463,-0.187,0.016,0.343
-3.328,-0.512,10.405,-0.169,-0.001,0.346

14.739,-6.268,19.795,0.392,-0.353,-1.526
15.328,-6.574,20.145,0.537,-0.303,-1.754
16.166,-6.886,20.394,0.680,-0.226,-1.974
17.363,-7.254,20.475,0.846,-0.067,-2.241
18.354,-7.570,20.379,0.986,0.122,-2.496
19.235,-7.944,20.202,1.131,0.314,-2.788
20.044,-8.475,19.953,1.294,0.514,-3.128
20.633,-9.103,19.575,1.478,0.728,-3.524
20.691,-9.773,19.029,1.683,0.937,-3.966
19.992,-10.467,18.316,1.911,1.098,-4.366
18.273,-11.277,17.233,2.195,1.176,-4.366
16.324,-12.014,16.036,2.445,1.134,-4.366
14.178,-12.775,14.815,2.680,1.029,-4.366
11.746,-13.546,13.408,2.905,0.902,-4.366
9.246,-14.135,11.890,3.102,0.717,-4.366
6.225,-14.643,10.013,3.283,0.492,-4.366
3.357,-14.758,8.241,3.382,0.331,-4.366
0.144,-14.720,6.321,3.410,0.162,-4.366
-3.069,-14.672,4.338,3.366,-0.036,-4.366
-5.890,-14.609,2.667,3.223,-0.198,-4.366
-8.509,-14.466,1.369,3.002,-0.302,-4.366
-10.913,-14.188,0.579,2.726,-0.420,-4.366
-12.953,-13.829,0.354,2.416,-0.539,-4.366
-14.700,-13.484,0.608,2.106,-0.559,-4.366
-16.338,-12.991,1.144,1.806,-0.423,-4.366
-18.162,-12.431,1.800,1.502,-0.176,-4.366
-19.383,-11.890,2.251,1.284,0.016,-4.366
-20.288,-11.406,2.672,1.090,0.179,-4.366
-21.016,-11.286,3.347,0.975,0.316,-4.366
-21.735,-10.760,4.128,0.929,0.469,-4.366
-22.352,-10.434,4.549,0.830,0.580,-4.275
-22.960,-10.089,4.831,0.766,0.659,-3.988
-23.803,-9.529,5.047,0.693,0.679,-3.652
-24.330,-9.045,5.358,0.622,0.630,-3.347
-24.502,-8.552,5.775,0.562,0.559,-3.013
-24.292,-8.025,6.258,0.520,0.481,-2.669
-23.813,-7.489,6.723,0.503,0.394,-2.332
-23.147,-6.919,7.192,0.515,0.306,-2.006
-22.290,-6.258,7.384,0.552,0.250,-1.687
-21.251,-5.502,7.250,0.590,0.233,-1.374
